,lon,lat,mcc,range,net,cell,averageSignal
1182,11.5365,48.1484,262,700,1,26226,-70
2372,11.7128,48.1867,262,2555,1,26915,-85
3116,11.4283,48.1782,262,2138,1,29478,-119
3120,11.5319,48.1878,262,4584,1,54521,-57
3121,11.515,48.1904,262,2863,1,56587,-80
3123,11.5208,48.1891,262,3122,1,51210,-64
3124,11.5437,48.1872,262,3373,1,26080,-86
3125,11.5158,48.1809,262,3747,1,22151,-78
3126,11.5049,48.2135,262,1710,1,25223,-85
3127,11.5398,48.1741,262,2108,1,25867,-61
3160,11.5256,48.1692,262,7650,1,25868,-119
3161,11.5103,48.1818,262,4109,1,25869,-90
3163,11.528,48.1709,262,1897,1,34877,-108
3164,11.5089,48.1833,262,1848,1,51211,-56
3182,11.5338,48.1699,262,989,1,34871,-102
3183,11.5475,48.184,262,1391,1,25980,-119
3184,11.5161,48.1904,262,4325,1,51213,-58
3190,11.5019,48.1878,262,2115,1,22245,-84
3191,11.5241,48.1863,262,9232,1,25865,-108
3639,11.6275,48.0744,262,2205,1,51025,-59
3642,11.6462,48.0751,262,3253,1,5751,-83
3643,11.6456,48.0826,262,2908,1,5886,-82
3645,11.6285,48.0678,262,4803,1,49675,-83
3648,11.6205,48.0691,262,2778,1,5790,-85
8660,11.6026,48.1501,262,1447,1,30625,-116
8663,11.5948,48.1618,262,1903,1,27415,-87
9047,11.6371,48.2224,262,2933,1,31096,-87
9049,11.6845,48.2272,262,11943,1,11341,-86
9051,11.6404,48.2437,262,2793,1,9350,-94
9064,11.6373,48.2161,262,2279,1,53350,-86
9065,11.6381,48.2274,262,3078,1,9375,-104
9320,11.3669,48.2237,262,4054,1,21872,-120
9322,11.3956,48.2108,262,3594,1,25839,-111
9324,11.4109,48.1989,262,6523,1,25837,-81
9859,11.6079,48.0662,262,2188,1,52800,-69
9861,11.616,48.1119,262,4279,1,16356,-82
10732,11.5467,48.2032,262,10713,1,64590,-53
10852,11.3948,48.1281,262,2629,1,30569,-86
10888,11.373,48.1323,262,3677,1,49336,-113
10890,11.4004,48.1405,262,6562,1,49335,-80
10896,11.5179,48.1065,262,5092,1,56678,-94
10917,11.4705,48.1786,262,2737,1,27623,-78
10918,11.4423,48.1778,262,3757,1,29470,-84
10919,11.4694,48.1699,262,2158,1,53089,-103
10921,11.4814,48.21,262,1615,1,15509,-80
10937,11.4406,48.1764,262,3173,1,26649,-114
10938,11.4539,48.1662,262,2398,1,30653,-87
10939,11.4357,48.2024,262,3227,1,18347,-83
10984,11.3996,48.1393,262,2098,1,19685,-79
11024,11.3985,48.1486,262,2932,1,39784,-60
11113,11.4754,48.1609,262,1832,1,25161,-102
11122,11.4912,48.1441,262,4795,1,26791,-58
11131,11.3953,48.154,262,9751,1,22644,-104
11134,11.483,48.1477,262,2295,1,61616,-107
11135,11.5001,48.1463,262,3597,1,26769,-86
11136,11.5219,48.1317,262,1958,1,7751,-86
11139,11.5775,48.1121,262,3444,1,14245,-80
11145,11.4898,48.2073,262,1377,1,25841,-89
11146,11.5492,48.2274,262,2741,1,25854,-103
11147,11.4991,48.2105,262,5123,1,51269,-94
11148,11.4795,48.212,262,1051,1,25840,-66
11149,11.4776,48.22,262,1000,1,15508,-84
11164,11.5369,48.1671,262,1085,1,38045,-90
11166,11.5354,48.1654,262,2177,1,7824,-84
11187,11.4039,48.1321,262,2298,1,56583,-56
11191,11.6253,48.0879,262,5914,1,26884,-84
11192,11.6155,48.1079,262,2030,1,60467,-62
11193,11.6184,48.1157,262,2331,1,16355,-117
11196,11.5989,48.0841,262,7574,1,52801,-99
11201,11.6461,48.0952,262,7449,1,34551,-54
11207,11.616,48.1159,262,1868,1,16357,-79
11208,11.6146,48.1189,262,2005,1,58190,-111
11209,11.6217,48.1211,262,1232,1,32995,-84
11210,11.6184,48.1196,262,5127,1,51170,-89
11212,11.6139,48.0951,262,3464,1,26963,-118
11213,11.5654,48.0954,262,1910,1,30467,-107
11214,11.5576,48.1166,262,1361,1,40781,-51
11215,11.5646,48.0942,262,2776,1,49805,-96
11216,11.5831,48.1021,262,1146,1,30804,-54
11217,11.5267,48.1005,262,1160,1,56676,-111
11226,11.4124,48.2057,262,2936,1,25832,-109
11227,11.4274,48.1768,262,1259,1,29474,-86
11236,11.6078,48.1281,262,1000,1,15098,-101
11238,11.6143,48.1322,262,2811,1,5718,-97
11240,11.6106,48.1287,262,6216,1,26953,-80
11241,11.6088,48.1004,262,2757,1,60468,-103
11242,11.6185,48.0828,262,1555,1,57404,-101
11251,11.542,48.1005,262,1078,1,30464,-83
11252,11.5439,48.1084,262,805,1,33252,-103
11253,11.54,48.0913,262,1235,1,18865,-54
11254,11.5494,48.1039,262,1368,1,30463,-82
11257,11.5398,48.1109,262,1111,1,40624,-60
11259,11.5464,48.0963,262,1931,1,18816,-107
11277,11.5912,48.1681,262,1115,1,27396,-105
11278,11.597,48.175,262,2194,1,27395,-54
11281,11.5915,48.1651,262,1973,1,33727,-88
11284,11.5862,48.178,262,2212,1,29210,-105
11306,11.3983,48.1245,262,1184,1,30567,-97
11309,11.4807,48.1215,262,5128,1,19658,-104
11311,11.4802,48.0883,262,1164,1,57850,-54
11312,11.4839,48.0866,262,1402,1,30573,-113
11313,11.4823,48.0791,262,3503,1,30572,-84
11314,11.4868,48.0926,262,2257,1,57849,-99
11315,11.4915,48.0844,262,1739,1,30571,-80
11317,11.5276,48.0633,262,1889,1,1316,-79
11318,11.5234,48.1286,262,1552,1,30664,-114
11319,11.5668,48.1132,262,918,1,30810,-81
11320,11.546,48.1124,262,1395,1,45216,-93
11321,11.5444,48.1114,262,901,1,33253,-88
11322,11.5541,48.1112,262,1211,1,33250,-79
11323,11.6279,48.0799,262,5377,1,11027,-105
11340,11.4966,48.0959,262,1660,1,27679,-86
11341,11.4956,48.0867,262,1639,1,27678,-67
11342,11.461,48.0615,262,5698,1,53821,-82
11344,11.4888,48.0834,262,2213,1,5897,-92
11350,11.479,48.12,262,4241,1,28486,-102
11353,11.4919,48.1211,262,3249,1,30737,-90
11357,11.5623,48.1491,262,1976,1,53001,-94
11360,11.5505,48.1789,262,5322,1,4656,-82
11361,11.5542,48.1757,262,4024,1,4655,-87
11362,11.5683,48.1769,262,3043,1,4654,-85
11363,11.5563,48.187,262,3328,1,25880,-79
11366,11.5512,48.1756,262,840,1,26189,-78
11367,11.6015,48.1893,262,1598,1,56502,-119
11368,11.6306,48.0762,262,3743,1,49682,-86
11369,11.577,48.1097,262,1150,1,30805,-86
11370,11.5266,48.1306,262,1537,1,7742,-109
11371,11.5353,48.1109,262,2041,1,5715,-85
11372,11.5388,48.1108,262,1125,1,30580,-114
11373,11.5304,48.1063,262,2299,1,5714,-67
11380,11.6191,48.1343,262,5396,1,51172,-95
11381,11.6185,48.1315,262,5478,1,5716,-60
11382,11.6148,48.1265,262,6589,1,5717,-87
11387,11.6462,48.1052,262,4029,1,34552,-82
11388,11.6039,48.0621,262,7874,1,48844,-96
11390,11.6909,48.0731,262,3768,1,30690,-86
11439,11.5433,48.1038,262,1023,1,30465,-87
11450,11.555,48.1335,262,2720,1,30705,-80
11452,11.4614,48.1806,262,2797,1,27625,-54
11453,11.5456,48.1027,262,1526,1,17979,-61
11455,11.5474,48.1074,262,1219,1,17987,-54
11459,11.5331,48.1332,262,1562,1,33247,-105
11460,11.5282,48.1331,262,2573,1,53412,-86
11461,11.5315,48.141,262,1182,1,53007,-82
11464,11.5235,48.127,262,744,1,7745,-119
11465,11.5206,48.1238,262,3036,1,65395,-96
11466,11.5352,48.1463,262,1223,1,26228,-53
11471,11.4931,48.0705,262,3369,1,5896,-90
11478,11.5277,48.1427,262,1224,1,53481,-87
11479,11.5364,48.1424,262,1301,1,53006,-94
11480,11.5304,48.146,262,2146,1,27416,-88
11481,11.5379,48.1415,262,2245,1,30574,-78
11482,11.5279,48.144,262,4866,1,30578,-84
11515,11.5373,48.1557,262,796,1,7786,-70
11516,11.5375,48.1595,262,856,1,7772,-80
11520,11.5033,48.1267,262,1660,1,30663,-85
11529,11.5128,48.0939,262,3249,1,29477,-105
11534,11.5302,48.1046,262,1171,1,30582,-86
11539,11.5199,48.1069,262,1555,1,27552,-115
11546,11.519,48.109,262,2635,1,17835,-100
11547,11.5173,48.113,262,1134,1,30290,-86
11548,11.5125,48.1075,262,1529,1,30289,-89
11549,11.5145,48.1229,262,1398,1,30665,-84
11552,11.5046,48.1241,262,1917,1,30662,-103
11560,11.5107,48.1261,262,1830,1,30661,-86
11561,11.5196,48.1232,262,500,1,24680,-78
11564,11.5969,48.1507,262,2253,1,27342,-81
11570,11.5875,48.1771,262,1306,1,39198,-84
11571,11.5911,48.1766,262,2177,1,27397,-94
11572,11.5935,48.1653,262,3106,1,27399,-78
